hyponim|hyponim1|hyperonim|text|link|bool|comment
Капельмейстер|Капельмейстер|руководитель хоровой капеллы|Капельмейстер - это руководитель хоровой капеллы и/или оркестра.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B5%D0%BB%D1%8C%D0%BC%D0%B5%D0%B9%D1%81%D1%82%D0%B5%D1%80|1|0
Капельмейстер|Капельмейстер|дирижер|Капельмейстер - дирижер военного духового оркестра.|https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BA%D0%B0%D0%BF%D0%B5%D0%BB%D1%8C%D0%BC%D0%B5%D0%B9%D1%81%D1%82%D0%B5%D1%80|1|0
Капельмейстер|Капельмейстер|руководитель военного оркестра|Капельмейстер - руководитель военного оркестра|https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BA%D0%B0%D0%BF%D0%B5%D0%BB%D1%8C%D0%BC%D0%B5%D0%B9%D1%81%D1%82%D0%B5%D1%80|1|0
Капельмейстер|дирижер|профессия |Дирижер - профессия штучная, эксклюзивная, которой научить практически нельзя. Дирижером надо родиться. К этой профессии идут годами.|http://obrazovanie66.ru/prof/dirizher/|1|0
Капельмейстер|Профессия|род трудовой деятельности | Профе́ссия (лат. professio; от profiteor — «объявляю своим делом»[1]) — род трудовой деятельности человека, обычно его источник существования. |https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D1%8F|0|капельмейстер=>дирижер=>профессия
Каперс|Каперс|растение| Каперсы - род растений семейства Каперсовые (Capparidaceae), иногда род относят к семейству Капустные (Brassicaceae).|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D0%B5%D1%80%D1%81%D1%8B|1|0
Каперс|Каперс|бутон | Каперсы — нераспустившиеся бутоны колючего кустарника Capparis spinosa.|https://eda.ru/wiki/ingredienty/ovoschi-korneplody/kapersi-13534|1|0
Каперс|Каперс|еда| Каперсы – это не еда, а скорее, украшение еды|https://www.gastronom.ru/text/kapersy-chto-jeto-takoe-i-s-chem-ih-edjat-1009873|1|0
Каперс|Каперс|овощ |Каперс - забытый овощ. Многие хозяйки, которым попадались книги кулинарных рецептов прошлых лет (особенно дореволюционные), обращали внимание на присутствие такой пряности, как каперсы. Сейчас же они почти забыты.|https://garden.cofe.ru/dachnye-ekzoty/kapers-zabyityiy-ovoshh|1|0
Каперс|Каперс|плод кустарника| каперс - ароматический и возбуждающий плод кустарника, распространенного на востоке. Применяется как приправа. В русском переводе Библии это слово употреблено фигурально, в оригинале сказано прямо: «и желание исчезнет».|https://gufo.me/dict/bible_vihlyancev/%D0%BA%D0%B0%D0%BF%D0%B5%D1%80%D1%81|1|0
КАПРИС|КАПРИС|название пьессы | Итальянское слово «capriccio» означает каприз, прихоть. Каприс называют пьесы, свободные по построению, капризного, изменчивого характера. Таково, например, Итальянское каприччио Чайковского, написанное под впечатлением его поездки в Италию. В этом оркестровом каприччио использованы разнообразные народные напевы и ритмы, благодаря которым создается красочная картина веселого итальянского карнавала.|https://www.classic-music.ru/capriccio.html|1|0
КАПРИС|пьеса|произведение| Пье́са (от фр. Pièce — произведение, отрывок, часть) — видовое название произведений драматургии, предназначенных для исполнения со сцены, а также для теле- и радиоспектаклей|https://ru.wikipedia.org/wiki/%D0%9F%D1%8C%D0%B5%D1%81%D0%B0|0|каприс=>пьеса
КАПРИС|КАПРИС|произведение академической музыки|Капри́ччио (итал. Capriccio, также каприс, фр. caprice; букв. каприз, прихоть; причудливый изыск) — произведение академической музыки, написанное в свободной форме.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%80%D0%B8%D1%87%D1%87%D0%B8%D0%BE_(%D0%BC%D1%83%D0%B7%D1%8B%D0%BA%D0%B0)|1|0
КАПРИС|КАПРИС|жанр|Каприс - это старый жанр, это слово известно с XVI века.|https://www.classic-music.ru/capriccio.html|1|0
КАПРИС|КАПРИС|пьеса |Каприс - это инструментальная пьеса свободной формы, в блестящем виртуозном стиле. Для множества каприччио типична причудливая смена эпизодов, настроений.|https://www.classic-music.ru/capriccio.html|1|0
КАПРИЧЧИО|КАПРИЧЧИО|жанр пейзажной живописи | Каприччио (итал. capriccio, буквально «каприз») — жанр пейзажной живописи, популярный в XVII—XVIII веках. На картинах этого жанра изображались архитектурные фантазии, в основном руины вымышленных античных сооружений. Для оживления пейзажа нередко использовался стаффаж. Каприччио тесно связан с жанром ведуты. На некоторых картинах элементы каприччио могут сочетаться с другими жанрами.|https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BF%D1%80%D0%B8%D1%87%D1%87%D0%B8%D0%BE_(%D0%B6%D0%B8%D0%B2%D0%BE%D0%BF%D0%B8%D1%81%D1%8C)|1|0
КАПРИЧЧИО|КАПРИЧЧИО|инструментальная пьесса| Каприччио - Инструментальная пьеса свободной формы, в блестящем виртуозном стиле. Для множества каприччио типична причудливая смена эпизодов, настроений.|https://www.belcanto.ru/capriccio.html|1|0
КАПРИЧЧИО|КАПРИЧЧИО|вокальное многоголосое произведение| Первоначально каприччио называли вокальное многоголосое произведение|https://www.classic-music.ru/capriccio.html|1|0
